text,gloss
[DGS] Wait for Sign 0093,[DGS] WAIT FOR SIGN 0093
[DGS] Translate Sign 0093,[DGS] TRANSLATE SIGN 0093
[DGS] See Sign 0093,[DGS] SEE SIGN 0093
[DGS] Repeat Sign 0094,[DGS] REPEAT SIGN 0094
[DGS] Show me Sign 0094,[DGS] SHOW ME SIGN 0094
[DGS] What is Sign 0095?,[DGS] WHAT SIGN 0095?
[DGS] Translate Sign 0095,[DGS] TRANSLATE SIGN 0095
[DGS] This is Sign 0095,[DGS] THIS SIGN 0095
[DGS] Repeat Sign 0096,[DGS] REPEAT SIGN 0096
[DGS] What is Sign 0096?,[DGS] WHAT SIGN 0096?
[DGS] This is Sign 0096,[DGS] THIS SIGN 0096
[DGS] Can you sign Sign 0097?,[DGS] CAN YOU SIGN SIGN 0097?
[DGS] Learn Sign 0097,[DGS] LEARN SIGN 0097
[DGS] This is Sign 0097,[DGS] THIS SIGN 0097
[DGS] What is Sign 0098?,[DGS] WHAT SIGN 0098?
[DGS] Wait for Sign 0098,[DGS] WAIT FOR SIGN 0098
[DGS] Repeat Sign 0098,[DGS] REPEAT SIGN 0098
[DGS] Can you sign Sign 0099?,[DGS] CAN YOU SIGN SIGN 0099?
[DGS] See Sign 0099,[DGS] SEE SIGN 0099
[DGS] Translate Sign 0099,[DGS] TRANSLATE SIGN 0099
[DGS] Translate Sign 0000,[DGS] TRANSLATE SIGN 0000
[DGS] Wait for Sign 0000,[DGS] WAIT FOR SIGN 0000
[DGS] What is Sign 0000?,[DGS] WHAT SIGN 0000?
[DGS] Learn Sign 0001,[DGS] LEARN SIGN 0001
[DGS] This is Sign 0001,[DGS] THIS SIGN 0001
[DGS] See Sign 0002,[DGS] SEE SIGN 0002
[DGS] Can you sign Sign 0003?,[DGS] CAN YOU SIGN SIGN 0003?
[DGS] This is Sign 0004,[DGS] THIS SIGN 0004
[DGS] Wait for Sign 0004,[DGS] WAIT FOR SIGN 0004
[DGS] Learn Sign 0004,[DGS] LEARN SIGN 0004
[DGS] See Sign 0005,[DGS] SEE SIGN 0005
[DGS] What is Sign 0005?,[DGS] WHAT SIGN 0005?
[DGS] See Sign 0006,[DGS] SEE SIGN 0006
[DGS] Show me Sign 0006,[DGS] SHOW ME SIGN 0006
[DGS] See Sign 0008,[DGS] SEE SIGN 0008
[DGS] Learn Sign 0008,[DGS] LEARN SIGN 0008
[DGS] Show me Sign 0009,[DGS] SHOW ME SIGN 0009
[DGS] Learn Sign 0009,[DGS] LEARN SIGN 0009
[DGS] This is Sign 0009,[DGS] THIS SIGN 0009
[DGS] This is Sign 0010,[DGS] THIS SIGN 0010
[DGS] Learn Sign 0010,[DGS] LEARN SIGN 0010
[DGS] I like Sign 0012,[DGS] I LIKE SIGN 0012
[DGS] Translate Sign 0013,[DGS] TRANSLATE SIGN 0013
[DGS] Wait for Sign 0014,[DGS] WAIT FOR SIGN 0014
[DGS] Learn Sign 0014,[DGS] LEARN SIGN 0014
[DGS] Repeat Sign 0015,[DGS] REPEAT SIGN 0015
[DGS] What is Sign 0016?,[DGS] WHAT SIGN 0016?
[DGS] Translate Sign 0016,[DGS] TRANSLATE SIGN 0016
[DGS] Learn Sign 0017,[DGS] LEARN SIGN 0017
[DGS] Repeat Sign 0018,[DGS] REPEAT SIGN 0018
[DGS] Wait for Sign 0019,[DGS] WAIT FOR SIGN 0019
[DGS] I like Sign 0019,[DGS] I LIKE SIGN 0019
[DGS] Translate Sign 0019,[DGS] TRANSLATE SIGN 0019
[DGS] Repeat Sign 0020,[DGS] REPEAT SIGN 0020
[DGS] What is Sign 0021?,[DGS] WHAT SIGN 0021?
[DGS] I like Sign 0021,[DGS] I LIKE SIGN 0021
[DGS] Translate Sign 0021,[DGS] TRANSLATE SIGN 0021
[DGS] I like Sign 0022,[DGS] I LIKE SIGN 0022
[DGS] Repeat Sign 0022,[DGS] REPEAT SIGN 0022
[DGS] Show me Sign 0023,[DGS] SHOW ME SIGN 0023
[DGS] Repeat Sign 0023,[DGS] REPEAT SIGN 0023
[DGS] Wait for Sign 0024,[DGS] WAIT FOR SIGN 0024
[DGS] Learn Sign 0024,[DGS] LEARN SIGN 0024
[DGS] See Sign 0025,[DGS] SEE SIGN 0025
[DGS] Learn Sign 0025,[DGS] LEARN SIGN 0025
[DGS] Translate Sign 0026,[DGS] TRANSLATE SIGN 0026
[DGS] Repeat Sign 0026,[DGS] REPEAT SIGN 0026
[DGS] Show me Sign 0026,[DGS] SHOW ME SIGN 0026
[DGS] Repeat Sign 0027,[DGS] REPEAT SIGN 0027
[DGS] Translate Sign 0027,[DGS] TRANSLATE SIGN 0027
[DGS] I like Sign 0028,[DGS] I LIKE SIGN 0028
[DGS] Wait for Sign 0028,[DGS] WAIT FOR SIGN 0028
[DGS] Can you sign Sign 0029?,[DGS] CAN YOU SIGN SIGN 0029?
[DGS] Wait for Sign 0029,[DGS] WAIT FOR SIGN 0029
[DGS] What is Sign 0030?,[DGS] WHAT SIGN 0030?
[DGS] I like Sign 0031,[DGS] I LIKE SIGN 0031
[DGS] Can you sign Sign 0031?,[DGS] CAN YOU SIGN SIGN 0031?
[DGS] Learn Sign 0031,[DGS] LEARN SIGN 0031
[DGS] Show me Sign 0032,[DGS] SHOW ME SIGN 0032
[DGS] Can you sign Sign 0032?,[DGS] CAN YOU SIGN SIGN 0032?
[DGS] Learn Sign 0033,[DGS] LEARN SIGN 0033
[DGS] Repeat Sign 0034,[DGS] REPEAT SIGN 0034
[DGS] Learn Sign 0035,[DGS] LEARN SIGN 0035
[DGS] See Sign 0035,[DGS] SEE SIGN 0035
[DGS] This is Sign 0036,[DGS] THIS SIGN 0036
[DGS] Show me Sign 0036,[DGS] SHOW ME SIGN 0036
[DGS] I like Sign 0037,[DGS] I LIKE SIGN 0037
[DGS] This is Sign 0038,[DGS] THIS SIGN 0038
[DGS] Show me Sign 0038,[DGS] SHOW ME SIGN 0038
[DGS] What is Sign 0039?,[DGS] WHAT SIGN 0039?
[DGS] I like Sign 0039,[DGS] I LIKE SIGN 0039
[DGS] Show me Sign 0040,[DGS] SHOW ME SIGN 0040
[DGS] See Sign 0040,[DGS] SEE SIGN 0040
[DGS] This is Sign 0040,[DGS] THIS SIGN 0040
[DGS] Show me Sign 0041,[DGS] SHOW ME SIGN 0041
[DGS] See Sign 0042,[DGS] SEE SIGN 0042
[DGS] Wait for Sign 0042,[DGS] WAIT FOR SIGN 0042
[DGS] Can you sign Sign 0043?,[DGS] CAN YOU SIGN SIGN 0043?
[DGS] What is Sign 0043?,[DGS] WHAT SIGN 0043?
[DGS] Show me Sign 0044,[DGS] SHOW ME SIGN 0044
[DGS] Repeat Sign 0044,[DGS] REPEAT SIGN 0044
[DGS] This is Sign 0044,[DGS] THIS SIGN 0044
[DGS] Show me Sign 0045,[DGS] SHOW ME SIGN 0045
[DGS] Translate Sign 0045,[DGS] TRANSLATE SIGN 0045
[DGS] Learn Sign 0046,[DGS] LEARN SIGN 0046
[DGS] Show me Sign 0046,[DGS] SHOW ME SIGN 0046
[DGS] This is Sign 0047,[DGS] THIS SIGN 0047
[DGS] Learn Sign 0048,[DGS] LEARN SIGN 0048
[DGS] See Sign 0049,[DGS] SEE SIGN 0049
[DGS] What is Sign 0049?,[DGS] WHAT SIGN 0049?
[DGS] Can you sign Sign 0049?,[DGS] CAN YOU SIGN SIGN 0049?
[DGS] Repeat Sign 0050,[DGS] REPEAT SIGN 0050
[DGS] Wait for Sign 0050,[DGS] WAIT FOR SIGN 0050
[DGS] See Sign 0050,[DGS] SEE SIGN 0050
[DGS] Wait for Sign 0051,[DGS] WAIT FOR SIGN 0051
[DGS] Learn Sign 0051,[DGS] LEARN SIGN 0051
[DGS] This is Sign 0052,[DGS] THIS SIGN 0052
[DGS] Translate Sign 0052,[DGS] TRANSLATE SIGN 0052
[DGS] What is Sign 0053?,[DGS] WHAT SIGN 0053?
[DGS] Repeat Sign 0053,[DGS] REPEAT SIGN 0053
[DGS] Wait for Sign 0054,[DGS] WAIT FOR SIGN 0054
[DGS] This is Sign 0054,[DGS] THIS SIGN 0054
[DGS] What is Sign 0054?,[DGS] WHAT SIGN 0054?
[DGS] I like Sign 0055,[DGS] I LIKE SIGN 0055
[DGS] This is Sign 0056,[DGS] THIS SIGN 0056
[DGS] What is Sign 0057?,[DGS] WHAT SIGN 0057?
[DGS] Show me Sign 0057,[DGS] SHOW ME SIGN 0057
[DGS] Wait for Sign 0057,[DGS] WAIT FOR SIGN 0057
[DGS] This is Sign 0058,[DGS] THIS SIGN 0058
[DGS] I like Sign 0059,[DGS] I LIKE SIGN 0059
[DGS] Wait for Sign 0060,[DGS] WAIT FOR SIGN 0060
[DGS] See Sign 0060,[DGS] SEE SIGN 0060
[DGS] Can you sign Sign 0060?,[DGS] CAN YOU SIGN SIGN 0060?
[DGS] Show me Sign 0061,[DGS] SHOW ME SIGN 0061
[DGS] What is Sign 0061?,[DGS] WHAT SIGN 0061?
[DGS] Translate Sign 0061,[DGS] TRANSLATE SIGN 0061
[DGS] Learn Sign 0062,[DGS] LEARN SIGN 0062
[DGS] Repeat Sign 0062,[DGS] REPEAT SIGN 0062
[DGS] This is Sign 0062,[DGS] THIS SIGN 0062
[DGS] Translate Sign 0063,[DGS] TRANSLATE SIGN 0063
[DGS] This is Sign 0063,[DGS] THIS SIGN 0063
[DGS] See Sign 0064,[DGS] SEE SIGN 0064
[DGS] See Sign 0065,[DGS] SEE SIGN 0065
[DGS] I like Sign 0066,[DGS] I LIKE SIGN 0066
[DGS] Translate Sign 0066,[DGS] TRANSLATE SIGN 0066
[DGS] This is Sign 0067,[DGS] THIS SIGN 0067
[DGS] Repeat Sign 0067,[DGS] REPEAT SIGN 0067
[DGS] Wait for Sign 0067,[DGS] WAIT FOR SIGN 0067
[DGS] Wait for Sign 0068,[DGS] WAIT FOR SIGN 0068
[DGS] This is Sign 0069,[DGS] THIS SIGN 0069
[DGS] See Sign 0069,[DGS] SEE SIGN 0069
[DGS] Show me Sign 0070,[DGS] SHOW ME SIGN 0070
[DGS] Wait for Sign 0070,[DGS] WAIT FOR SIGN 0070
[DGS] Translate Sign 0071,[DGS] TRANSLATE SIGN 0071
[DGS] Wait for Sign 0072,[DGS] WAIT FOR SIGN 0072
[DGS] Translate Sign 0072,[DGS] TRANSLATE SIGN 0072
[DGS] Repeat Sign 0073,[DGS] REPEAT SIGN 0073
[DGS] Translate Sign 0073,[DGS] TRANSLATE SIGN 0073
[DGS] Show me Sign 0073,[DGS] SHOW ME SIGN 0073
[DGS] This is Sign 0074,[DGS] THIS SIGN 0074
[DGS] Translate Sign 0074,[DGS] TRANSLATE SIGN 0074
[DGS] Learn Sign 0075,[DGS] LEARN SIGN 0075
[DGS] Wait for Sign 0075,[DGS] WAIT FOR SIGN 0075
[DGS] This is Sign 0076,[DGS] THIS SIGN 0076
[DGS] What is Sign 0076?,[DGS] WHAT SIGN 0076?
[DGS] Translate Sign 0077,[DGS] TRANSLATE SIGN 0077
[DGS] Learn Sign 0078,[DGS] LEARN SIGN 0078
[DGS] What is Sign 0079?,[DGS] WHAT SIGN 0079?
[DGS] Can you sign Sign 0079?,[DGS] CAN YOU SIGN SIGN 0079?
[DGS] Translate Sign 0080,[DGS] TRANSLATE SIGN 0080
[DGS] I like Sign 0080,[DGS] I LIKE SIGN 0080
[DGS] Learn Sign 0081,[DGS] LEARN SIGN 0081
[DGS] Wait for Sign 0081,[DGS] WAIT FOR SIGN 0081
[DGS] I like Sign 0081,[DGS] I LIKE SIGN 0081
[DGS] Learn Sign 0082,[DGS] LEARN SIGN 0082
[DGS] Learn Sign 0083,[DGS] LEARN SIGN 0083
[DGS] Show me Sign 0084,[DGS] SHOW ME SIGN 0084
[DGS] Learn Sign 0084,[DGS] LEARN SIGN 0084
[DGS] Repeat Sign 0085,[DGS] REPEAT SIGN 0085
[DGS] This is Sign 0085,[DGS] THIS SIGN 0085
[DGS] Wait for Sign 0086,[DGS] WAIT FOR SIGN 0086
[DGS] Repeat Sign 0086,[DGS] REPEAT SIGN 0086
[DGS] Translate Sign 0086,[DGS] TRANSLATE SIGN 0086
[DGS] Repeat Sign 0087,[DGS] REPEAT SIGN 0087
[DGS] See Sign 0088,[DGS] SEE SIGN 0088
[DGS] I like Sign 0088,[DGS] I LIKE SIGN 0088
[DGS] Translate Sign 0089,[DGS] TRANSLATE SIGN 0089
[DGS] See Sign 0090,[DGS] SEE SIGN 0090
[DGS] Can you sign Sign 0091?,[DGS] CAN YOU SIGN SIGN 0091?
[DGS] See Sign 0092,[DGS] SEE SIGN 0092
[DGS] This is Sign 0092,[DGS] THIS SIGN 0092
[DGS] Show me Sign 0093,[DGS] SHOW ME SIGN 0093
[DGS] Learn Sign 0093,[DGS] LEARN SIGN 0093
[DGS] What is Sign 0093?,[DGS] WHAT SIGN 0093?
[DGS] What is Sign 0094?,[DGS] WHAT SIGN 0094?
[DGS] Can you sign Sign 0094?,[DGS] CAN YOU SIGN SIGN 0094?
[DGS] Learn Sign 0094,[DGS] LEARN SIGN 0094
[DGS] I like Sign 0095,[DGS] I LIKE SIGN 0095
[DGS] Translate Sign 0097,[DGS] TRANSLATE SIGN 0097
[DGS] What is Sign 0097?,[DGS] WHAT SIGN 0097?
[DGS] Show me Sign 0098,[DGS] SHOW ME SIGN 0098
[DGS] Translate Sign 0098,[DGS] TRANSLATE SIGN 0098
[DGS] See Sign 0098,[DGS] SEE SIGN 0098
[DGS] Repeat Sign 0099,[DGS] REPEAT SIGN 0099
[DGS] Wait for Sign 0099,[DGS] WAIT FOR SIGN 0099
[DGS] This is Sign 0099,[DGS] THIS SIGN 0099
[DGS] Learn Sign 0000,[DGS] LEARN SIGN 0000
[DGS] What is Sign 0001?,[DGS] WHAT SIGN 0001?
[DGS] See Sign 0001,[DGS] SEE SIGN 0001
[DGS] I like Sign 0003,[DGS] I LIKE SIGN 0003
[DGS] Can you sign Sign 0005?,[DGS] CAN YOU SIGN SIGN 0005?
[DGS] Translate Sign 0005,[DGS] TRANSLATE SIGN 0005
[DGS] Wait for Sign 0006,[DGS] WAIT FOR SIGN 0006
[DGS] Can you sign Sign 0006?,[DGS] CAN YOU SIGN SIGN 0006?
[DGS] Learn Sign 0007,[DGS] LEARN SIGN 0007
[DGS] Repeat Sign 0008,[DGS] REPEAT SIGN 0008
[DGS] What is Sign 0009?,[DGS] WHAT SIGN 0009?
[DGS] Translate Sign 0009,[DGS] TRANSLATE SIGN 0009
[DGS] Repeat Sign 0009,[DGS] REPEAT SIGN 0009
[DGS] Translate Sign 0010,[DGS] TRANSLATE SIGN 0010
[DGS] What is Sign 0010?,[DGS] WHAT SIGN 0010?
[DGS] What is Sign 0011?,[DGS] WHAT SIGN 0011?
[DGS] Translate Sign 0011,[DGS] TRANSLATE SIGN 0011
[DGS] Show me Sign 0012,[DGS] SHOW ME SIGN 0012
[DGS] Show me Sign 0013,[DGS] SHOW ME SIGN 0013
[DGS] Learn Sign 0013,[DGS] LEARN SIGN 0013
[DGS] See Sign 0014,[DGS] SEE SIGN 0014
[DGS] Can you sign Sign 0014?,[DGS] CAN YOU SIGN SIGN 0014?
[DGS] See Sign 0015,[DGS] SEE SIGN 0015
[DGS] Learn Sign 0016,[DGS] LEARN SIGN 0016
[DGS] Translate Sign 0017,[DGS] TRANSLATE SIGN 0017
[DGS] Can you sign Sign 0020?,[DGS] CAN YOU SIGN SIGN 0020?
[DGS] See Sign 0021,[DGS] SEE SIGN 0021
[DGS] Wait for Sign 0022,[DGS] WAIT FOR SIGN 0022
[DGS] Learn Sign 0022,[DGS] LEARN SIGN 0022
[DGS] Can you sign Sign 0023?,[DGS] CAN YOU SIGN SIGN 0023?
[DGS] I like Sign 0023,[DGS] I LIKE SIGN 0023
[DGS] Wait for Sign 0023,[DGS] WAIT FOR SIGN 0023
[DGS] I like Sign 0024,[DGS] I LIKE SIGN 0024
[DGS] Translate Sign 0025,[DGS] TRANSLATE SIGN 0025
[DGS] Can you sign Sign 0026?,[DGS] CAN YOU SIGN SIGN 0026?
[DGS] This is Sign 0027,[DGS] THIS SIGN 0027
[DGS] Show me Sign 0027,[DGS] SHOW ME SIGN 0027
[DGS] Repeat Sign 0028,[DGS] REPEAT SIGN 0028
[DGS] Can you sign Sign 0028?,[DGS] CAN YOU SIGN SIGN 0028?
[DGS] Show me Sign 0029,[DGS] SHOW ME SIGN 0029
[DGS] Translate Sign 0029,[DGS] TRANSLATE SIGN 0029
[DGS] See Sign 0030,[DGS] SEE SIGN 0030
[DGS] Wait for Sign 0032,[DGS] WAIT FOR SIGN 0032
[DGS] Translate Sign 0033,[DGS] TRANSLATE SIGN 0033
[DGS] See Sign 0033,[DGS] SEE SIGN 0033
[DGS] Wait for Sign 0034,[DGS] WAIT FOR SIGN 0034
[DGS] Repeat Sign 0035,[DGS] REPEAT SIGN 0035
[DGS] Wait for Sign 0036,[DGS] WAIT FOR SIGN 0036
[DGS] Repeat Sign 0037,[DGS] REPEAT SIGN 0037
[DGS] Can you sign Sign 0037?,[DGS] CAN YOU SIGN SIGN 0037?
[DGS] What is Sign 0038?,[DGS] WHAT SIGN 0038?
[DGS] Repeat Sign 0040,[DGS] REPEAT SIGN 0040
[DGS] I like Sign 0040,[DGS] I LIKE SIGN 0040
[DGS] Learn Sign 0041,[DGS] LEARN SIGN 0041
[DGS] See Sign 0041,[DGS] SEE SIGN 0041
[DGS] I like Sign 0042,[DGS] I LIKE SIGN 0042
[DGS] Learn Sign 0042,[DGS] LEARN SIGN 0042
[DGS] See Sign 0043,[DGS] SEE SIGN 0043
[DGS] Learn Sign 0043,[DGS] LEARN SIGN 0043
[DGS] I like Sign 0045,[DGS] I LIKE SIGN 0045
[DGS] Can you sign Sign 0045?,[DGS] CAN YOU SIGN SIGN 0045?
[DGS] Translate Sign 0046,[DGS] TRANSLATE SIGN 0046
[DGS] Wait for Sign 0047,[DGS] WAIT FOR SIGN 0047
[DGS] See Sign 0047,[DGS] SEE SIGN 0047
[DGS] Translate Sign 0048,[DGS] TRANSLATE SIGN 0048
[DGS] What is Sign 0048?,[DGS] WHAT SIGN 0048?
[DGS] This is Sign 0050,[DGS] THIS SIGN 0050
[DGS] Can you sign Sign 0051?,[DGS] CAN YOU SIGN SIGN 0051?
[DGS] See Sign 0051,[DGS] SEE SIGN 0051
[DGS] Show me Sign 0053,[DGS] SHOW ME SIGN 0053
[DGS] This is Sign 0053,[DGS] THIS SIGN 0053
[DGS] Can you sign Sign 0055?,[DGS] CAN YOU SIGN SIGN 0055?
[DGS] See Sign 0057,[DGS] SEE SIGN 0057
[DGS] Wait for Sign 0058,[DGS] WAIT FOR SIGN 0058
[DGS] Repeat Sign 0059,[DGS] REPEAT SIGN 0059
[DGS] Learn Sign 0059,[DGS] LEARN SIGN 0059
[DGS] This is Sign 0060,[DGS] THIS SIGN 0060
[DGS] Learn Sign 0061,[DGS] LEARN SIGN 0061
[DGS] See Sign 0061,[DGS] SEE SIGN 0061
[DGS] See Sign 0063,[DGS] SEE SIGN 0063
[DGS] I like Sign 0063,[DGS] I LIKE SIGN 0063
[DGS] I like Sign 0064,[DGS] I LIKE SIGN 0064
[DGS] Repeat Sign 0065,[DGS] REPEAT SIGN 0065
[DGS] Learn Sign 0066,[DGS] LEARN SIGN 0066
[DGS] Translate Sign 0067,[DGS] TRANSLATE SIGN 0067
[DGS] Can you sign Sign 0067?,[DGS] CAN YOU SIGN SIGN 0067?
[DGS] Repeat Sign 0068,[DGS] REPEAT SIGN 0068
[DGS] This is Sign 0068,[DGS] THIS SIGN 0068
[DGS] Can you sign Sign 0069?,[DGS] CAN YOU SIGN SIGN 0069?
[DGS] What is Sign 0069?,[DGS] WHAT SIGN 0069?
[DGS] Learn Sign 0070,[DGS] LEARN SIGN 0070
[DGS] What is Sign 0072?,[DGS] WHAT SIGN 0072?
[DGS] Can you sign Sign 0072?,[DGS] CAN YOU SIGN SIGN 0072?
[DGS] Can you sign Sign 0074?,[DGS] CAN YOU SIGN SIGN 0074?
[DGS] What is Sign 0075?,[DGS] WHAT SIGN 0075?
[DGS] I like Sign 0075,[DGS] I LIKE SIGN 0075
[DGS] Translate Sign 0076,[DGS] TRANSLATE SIGN 0076
[DGS] Learn Sign 0076,[DGS] LEARN SIGN 0076
[DGS] Wait for Sign 0077,[DGS] WAIT FOR SIGN 0077
[DGS] Wait for Sign 0078,[DGS] WAIT FOR SIGN 0078
[DGS] Learn Sign 0079,[DGS] LEARN SIGN 0079
[DGS] Learn Sign 0080,[DGS] LEARN SIGN 0080
[DGS] Repeat Sign 0081,[DGS] REPEAT SIGN 0081
[DGS] This is Sign 0082,[DGS] THIS SIGN 0082
[DGS] I like Sign 0082,[DGS] I LIKE SIGN 0082
[DGS] What is Sign 0084?,[DGS] WHAT SIGN 0084?
[DGS] Learn Sign 0085,[DGS] LEARN SIGN 0085
[DGS] Wait for Sign 0085,[DGS] WAIT FOR SIGN 0085
[DGS] What is Sign 0085?,[DGS] WHAT SIGN 0085?
[DGS] Learn Sign 0086,[DGS] LEARN SIGN 0086
[DGS] Show me Sign 0086,[DGS] SHOW ME SIGN 0086
[DGS] Show me Sign 0087,[DGS] SHOW ME SIGN 0087
[DGS] Wait for Sign 0088,[DGS] WAIT FOR SIGN 0088
[DGS] Translate Sign 0088,[DGS] TRANSLATE SIGN 0088
[DGS] Wait for Sign 0089,[DGS] WAIT FOR SIGN 0089
[DGS] I like Sign 0089,[DGS] I LIKE SIGN 0089
[DGS] See Sign 0089,[DGS] SEE SIGN 0089
[DGS] What is Sign 0090?,[DGS] WHAT SIGN 0090?
[DGS] What is Sign 0091?,[DGS] WHAT SIGN 0091?
[DGS] Wait for Sign 0091,[DGS] WAIT FOR SIGN 0091
[DGS] Translate Sign 0092,[DGS] TRANSLATE SIGN 0092
[DGS] What is Sign 0092?,[DGS] WHAT SIGN 0092?
[DGS] This is Sign 0093,[DGS] THIS SIGN 0093
[DGS] I like Sign 0093,[DGS] I LIKE SIGN 0093
[DGS] Translate Sign 0094,[DGS] TRANSLATE SIGN 0094
[DGS] Wait for Sign 0096,[DGS] WAIT FOR SIGN 0096
[DGS] Can you sign Sign 0096?,[DGS] CAN YOU SIGN SIGN 0096?
[DGS] I like Sign 0096,[DGS] I LIKE SIGN 0096
[DGS] I like Sign 0097,[DGS] I LIKE SIGN 0097
[DGS] Show me Sign 0097,[DGS] SHOW ME SIGN 0097
[DGS] This is Sign 0098,[DGS] THIS SIGN 0098
[DGS] What is Sign 0099?,[DGS] WHAT SIGN 0099?
[DGS] Repeat Sign 0001,[DGS] REPEAT SIGN 0001
[DGS] Wait for Sign 0001,[DGS] WAIT FOR SIGN 0001
[DGS] What is Sign 0002?,[DGS] WHAT SIGN 0002?
[DGS] I like Sign 0004,[DGS] I LIKE SIGN 0004
[DGS] I like Sign 0005,[DGS] I LIKE SIGN 0005
[DGS] This is Sign 0005,[DGS] THIS SIGN 0005
[DGS] See Sign 0007,[DGS] SEE SIGN 0007
[DGS] Can you sign Sign 0007?,[DGS] CAN YOU SIGN SIGN 0007?
[DGS] Translate Sign 0008,[DGS] TRANSLATE SIGN 0008
[DGS] Wait for Sign 0008,[DGS] WAIT FOR SIGN 0008
[DGS] Wait for Sign 0009,[DGS] WAIT FOR SIGN 0009
[DGS] See Sign 0011,[DGS] SEE SIGN 0011
[DGS] This is Sign 0013,[DGS] THIS SIGN 0013
[DGS] Repeat Sign 0014,[DGS] REPEAT SIGN 0014
[DGS] This is Sign 0015,[DGS] THIS SIGN 0015
[DGS] See Sign 0016,[DGS] SEE SIGN 0016
[DGS] Wait for Sign 0017,[DGS] WAIT FOR SIGN 0017
[DGS] Wait for Sign 0018,[DGS] WAIT FOR SIGN 0018
[DGS] What is Sign 0018?,[DGS] WHAT SIGN 0018?
[DGS] Can you sign Sign 0019?,[DGS] CAN YOU SIGN SIGN 0019?
[DGS] See Sign 0019,[DGS] SEE SIGN 0019
[DGS] See Sign 0022,[DGS] SEE SIGN 0022
[DGS] Can you sign Sign 0024?,[DGS] CAN YOU SIGN SIGN 0024?
[DGS] Wait for Sign 0025,[DGS] WAIT FOR SIGN 0025
[DGS] This is Sign 0026,[DGS] THIS SIGN 0026
[DGS] Learn Sign 0027,[DGS] LEARN SIGN 0027
[DGS] See Sign 0028,[DGS] SEE SIGN 0028
[DGS] This is Sign 0028,[DGS] THIS SIGN 0028
[DGS] This is Sign 0029,[DGS] THIS SIGN 0029
[DGS] Translate Sign 0030,[DGS] TRANSLATE SIGN 0030
[DGS] Wait for Sign 0031,[DGS] WAIT FOR SIGN 0031
[DGS] Wait for Sign 0033,[DGS] WAIT FOR SIGN 0033
[DGS] Repeat Sign 0033,[DGS] REPEAT SIGN 0033
[DGS] This is Sign 0034,[DGS] THIS SIGN 0034
[DGS] Can you sign Sign 0034?,[DGS] CAN YOU SIGN SIGN 0034?
[DGS] Wait for Sign 0035,[DGS] WAIT FOR SIGN 0035
[DGS] Learn Sign 0036,[DGS] LEARN SIGN 0036
[DGS] Wait for Sign 0038,[DGS] WAIT FOR SIGN 0038
[DGS] Translate Sign 0038,[DGS] TRANSLATE SIGN 0038
[DGS] Translate Sign 0040,[DGS] TRANSLATE SIGN 0040
[DGS] I like Sign 0041,[DGS] I LIKE SIGN 0041
[DGS] This is Sign 0042,[DGS] THIS SIGN 0042
[DGS] I like Sign 0043,[DGS] I LIKE SIGN 0043
[DGS] What is Sign 0045?,[DGS] WHAT SIGN 0045?
[DGS] Repeat Sign 0046,[DGS] REPEAT SIGN 0046
[DGS] Wait for Sign 0046,[DGS] WAIT FOR SIGN 0046
[DGS] Learn Sign 0047,[DGS] LEARN SIGN 0047
[DGS] I like Sign 0048,[DGS] I LIKE SIGN 0048
[DGS] Can you sign Sign 0050?,[DGS] CAN YOU SIGN SIGN 0050?
[DGS] Show me Sign 0050,[DGS] SHOW ME SIGN 0050
[DGS] This is Sign 0051,[DGS] THIS SIGN 0051
[DGS] Repeat Sign 0052,[DGS] REPEAT SIGN 0052
[DGS] Show me Sign 0052,[DGS] SHOW ME SIGN 0052
[DGS] Learn Sign 0052,[DGS] LEARN SIGN 0052
[DGS] See Sign 0053,[DGS] SEE SIGN 0053
[DGS] Can you sign Sign 0053?,[DGS] CAN YOU SIGN SIGN 0053?
[DGS] I like Sign 0054,[DGS] I LIKE SIGN 0054
[DGS] Learn Sign 0055,[DGS] LEARN SIGN 0055
[DGS] I like Sign 0056,[DGS] I LIKE SIGN 0056
[DGS] I like Sign 0057,[DGS] I LIKE SIGN 0057
[DGS] Repeat Sign 0057,[DGS] REPEAT SIGN 0057
[DGS] Translate Sign 0059,[DGS] TRANSLATE SIGN 0059
[DGS] I like Sign 0060,[DGS] I LIKE SIGN 0060
[DGS] I like Sign 0061,[DGS] I LIKE SIGN 0061
[DGS] Show me Sign 0062,[DGS] SHOW ME SIGN 0062
[DGS] I like Sign 0062,[DGS] I LIKE SIGN 0062
[DGS] Show me Sign 0063,[DGS] SHOW ME SIGN 0063
[DGS] Translate Sign 0064,[DGS] TRANSLATE SIGN 0064
[DGS] Translate Sign 0068,[DGS] TRANSLATE SIGN 0068
[DGS] What is Sign 0068?,[DGS] WHAT SIGN 0068?
[DGS] Learn Sign 0069,[DGS] LEARN SIGN 0069
[DGS] Translate Sign 0070,[DGS] TRANSLATE SIGN 0070
[DGS] This is Sign 0070,[DGS] THIS SIGN 0070
[DGS] Can you sign Sign 0071?,[DGS] CAN YOU SIGN SIGN 0071?
[DGS] Repeat Sign 0071,[DGS] REPEAT SIGN 0071
[DGS] Show me Sign 0072,[DGS] SHOW ME SIGN 0072
[DGS] See Sign 0072,[DGS] SEE SIGN 0072
[DGS] What is Sign 0073?,[DGS] WHAT SIGN 0073?
